Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2022-08-07,16:30,Premier League,Matchweek 1,Sun,Home,L,0,2,Manchester City,0.5,2.2,25.0,62443,Declan Rice,4-2-3-1,4-3-3,Michael Oliver,Match Report,,6.0,1.0,16.3,0.0,0,0,West Ham United,2023
2022-08-14,14:00,Premier League,Matchweek 2,Sun,Away,L,0,1,Nott'ham Forest,2.1,1.3,57.0,29281,Declan Rice,4-3-3,3-4-1-2,Robert Jones,Match Report,,18.0,3.0,19.3,2.0,0,1,West Ham United,2023
2022-08-21,14:00,Premier League,Matchweek 3,Sun,Home,L,0,2,Brighton,0.8,1.7,50.0,62449,Declan Rice,4-2-3-1,3-5-1-1,Anthony Taylor,Match Report,,13.0,3.0,16.5,0.0,0,0,West Ham United,2023
2022-08-28,14:00,Premier League,Matchweek 4,Sun,Away,W,1,0,Aston Villa,0.6,0.5,42.0,41796,Declan Rice,3-5-2,4-3-1-2,David Coote,Match Report,,7.0,2.0,24.8,1.0,0,0,West Ham United,2023
2022-08-31,19:45,Premier League,Matchweek 5,Wed,Home,D,1,1,Tottenham,1.2,0.6,39.0,62450,Declan Rice,4-2-3-1,3-4-3,Peter Bankes,Match Report,,14.0,4.0,16.3,0.0,0,0,West Ham United,2023
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Away,L,1,2,Chelsea,1.1,0.9,33.0,39923,Declan Rice,3-4-1-2,3-1-4-2,Andy Madley,Match Report,,6.0,3.0,15.9,0.0,0,0,West Ham United,2023
2022-09-18,14:15,Premier League,Matchweek 8,Sun,Away,L,0,1,Everton,1.0,0.4,47.0,39298,Declan Rice,4-2-3-1,4-3-3,Michael Oliver,Match Report,,14.0,4.0,15.2,0.0,0,0,West Ham United,2023
2022-10-01,17:30,Premier League,Matchweek 9,Sat,Home,W,2,0,Wolves,0.9,0.7,39.0,62444,Declan Rice,4-2-3-1,3-4-3,Paul Tierney,Match Report,,18.0,5.0,20.3,1.0,0,0,West Ham United,2023
2022-10-09,14:00,Premier League,Matchweek 10,Sun,Home,W,3,1,Fulham,2.4,0.7,50.0,62407,Declan Rice,4-2-3-1,4-2-3-1,Chris Kavanagh,Match Report,,16.0,7.0,16.4,0.0,1,1,West Ham United,2023
2022-10-16,14:00,Premier League,Matchweek 11,Sun,Away,D,1,1,Southampton,1.7,0.5,61.0,29159,Declan Rice,3-4-3,4-3-3,Peter Bankes,Match Report,,25.0,4.0,18.8,0.0,0,0,West Ham United,2023
2022-10-19,19:30,Premier League,Matchweek 12,Wed,Away,L,0,1,Liverpool,1.7,1.7,46.0,52982,Declan Rice,4-4-2,4-4-2,Stuart Attwell,Match Report,,7.0,2.0,15.2,0.0,0,1,West Ham United,2023
2022-10-24,20:00,Premier League,Matchweek 13,Mon,Home,W,2,0,Bournemouth,1.9,0.4,55.0,62447,Declan Rice,4-2-3-1,4-2-3-1,David Coote,Match Report,,19.0,3.0,21.1,1.0,1,1,West Ham United,2023
