Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2020-09-12,17:30,Premier League,Matchweek 1,Sat,Away,L,3,4,Liverpool,0.3,2.7,51,,Luke Ayling,4-1-4-1,4-3-3,Michael Oliver,Match Report,,6,3,19.9,1.0,0,0,Leeds United,2021
2020-09-19,15:00,Premier League,Matchweek 2,Sat,Home,W,4,3,Fulham,1.4,1.7,51,,Liam Cooper,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,,9,6,16.9,1.0,1,1,Leeds United,2021
2020-09-27,12:00,Premier League,Matchweek 3,Sun,Away,W,1,0,Sheffield Utd,1.2,1.4,64,,Liam Cooper,3-1-4-2,3-5-2,Paul Tierney,Match Report,,17,8,19.0,0.0,0,0,Leeds United,2021
2020-10-03,17:30,Premier League,Matchweek 4,Sat,Home,D,1,1,Manchester City,2.4,1.2,51,,Liam Cooper,4-1-4-1,4-3-3,Mike Dean,Match Report,,12,7,11.5,0.0,0,0,Leeds United,2021
2020-10-19,20:00,Premier League,Matchweek 5,Mon,Home,L,0,1,Wolves,1.0,0.4,66,,Luke Ayling,4-1-4-1,3-5-2,David Coote,Match Report,,13,2,12.8,0.0,0,0,Leeds United,2021
2020-10-23,20:00,Premier League,Matchweek 6,Fri,Away,W,3,0,Aston Villa,2.7,1.4,59,,Luke Ayling,4-4-1-1,4-2-3-1,Paul Tierney,Match Report,,27,9,16.9,1.0,0,0,Leeds United,2021
2020-11-02,20:00,Premier League,Matchweek 7,Mon,Home,L,1,4,Leicester City,2.1,2.9,67,,Liam Cooper,4-1-4-1,3-4-3,Andre Marriner,Match Report,,11,4,18.0,0.0,0,0,Leeds United,2021
2020-11-07,15:00,Premier League,Matchweek 8,Sat,Away,L,1,4,Crystal Palace,0.8,0.9,64,,Liam Cooper,3-3-3-1,4-4-2,Chris Kavanagh,Match Report,,9,3,18.9,1.0,0,0,Leeds United,2021
2020-11-22,16:30,Premier League,Matchweek 9,Sun,Home,D,0,0,Arsenal,1.8,0.9,66,,Liam Cooper,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,,25,4,18.0,0.0,0,0,Leeds United,2021
2020-11-28,17:30,Premier League,Matchweek 10,Sat,Away,W,1,0,Everton,2.9,1.2,59,,Liam Cooper,4-4-1-1,3-4-3,Chris Kavanagh,Match Report,,23,6,16.5,0.0,0,0,Leeds United,2021
2020-12-05,20:00,Premier League,Matchweek 11,Sat,Away,L,1,3,Chelsea,0.8,4.1,54,2000.0,Liam Cooper,4-4-1-1,4-3-3,Kevin Friend,Match Report,,8,3,16.8,0.0,0,0,Leeds United,2021
2020-12-11,20:00,Premier League,Matchweek 12,Fri,Home,L,1,2,West Ham,1.6,1.3,63,,Liam Cooper,4-1-4-1,4-2-3-1,Michael Oliver,Match Report,,12,6,17.7,0.0,1,1,Leeds United,2021
2020-12-16,18:00,Premier League,Matchweek 13,Wed,Home,W,5,2,Newcastle Utd,2.7,1.5,68,,Liam Cooper,4-1-4-1,4-4-2,Simon Hooper,Match Report,,25,10,16.7,0.0,0,0,Leeds United,2021
2020-12-20,16:30,Premier League,Matchweek 14,Sun,Away,L,2,6,Manchester Utd,1.8,3.6,59,,Liam Cooper,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,,17,4,13.9,0.0,0,0,Leeds United,2021
2020-12-27,12:00,Premier League,Matchweek 15,Sun,Home,W,1,0,Burnley,1.9,1.5,51,,Luke Ayling,3-3-3-1,4-4-2,Robert Jones,Match Report,,10,3,21.1,0.0,1,1,Leeds United,2021
2020-12-29,18:00,Premier League,Matchweek 16,Tue,Away,W,5,0,West Brom,1.2,0.5,75,,Luke Ayling,4-1-4-1,4-1-4-1,Lee Mason,Match Report,,14,6,18.6,0.0,0,0,Leeds United,2021
