Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2021-08-15,16:30,Premier League,Matchweek 1,Sun,Away,L,0,1,Tottenham,1.8,1.0,65,58262.0,Fernandinho,4-3-3,4-3-3,Anthony Taylor,Match Report,,18,4,17.3,1.0,0,0,Manchester City,2022
2021-08-21,15:00,Premier League,Matchweek 2,Sat,Home,W,5,0,Norwich City,2.6,0.1,67,51437.0,İlkay Gündoğan,4-3-3,4-3-3,Graham Scott,Match Report,,16,4,18.5,1.0,0,0,Manchester City,2022
2021-08-28,12:30,Premier League,Matchweek 3,Sat,Home,W,5,0,Arsenal,4.4,0.2,80,52276.0,İlkay Gündoğan,4-3-3,5-4-1,Martin Atkinson,Match Report,,25,10,14.8,0.0,0,0,Manchester City,2022
2021-09-11,15:00,Premier League,Matchweek 4,Sat,Away,W,1,0,Leicester City,2.8,0.6,61,32087.0,İlkay Gündoğan,4-3-3,4-2-3-1,Paul Tierney,Match Report,,25,8,14.3,0.0,0,0,Manchester City,2022
2021-09-18,15:00,Premier League,Matchweek 5,Sat,Home,D,0,0,Southampton,1.0,0.4,64,52698.0,Fernandinho,4-3-3,4-4-2,Jonathan Moss,Match Report,,16,1,16.4,1.0,0,0,Manchester City,2022
2021-09-25,12:30,Premier League,Matchweek 6,Sat,Away,W,1,0,Chelsea,1.7,0.2,59,40036.0,Rúben Dias,4-3-3,3-5-2,Michael Oliver,Match Report,,15,3,17.1,0.0,0,0,Manchester City,2022
2021-10-03,16:30,Premier League,Matchweek 7,Sun,Away,D,2,2,Liverpool,1.2,0.9,51,53102.0,Rúben Dias,4-3-3,4-3-3,Paul Tierney,Match Report,,12,3,17.0,1.0,0,0,Manchester City,2022
2021-10-16,15:00,Premier League,Matchweek 8,Sat,Home,W,2,0,Burnley,2.1,0.9,70,52711.0,Kevin De Bruyne,4-3-3,4-4-2,Martin Atkinson,Match Report,,15,6,14.4,0.0,0,0,Manchester City,2022
2021-10-23,17:30,Premier League,Matchweek 9,Sat,Away,W,4,1,Brighton,3.8,1.3,52,31215.0,İlkay Gündoğan,4-3-3,3-5-2,Kevin Friend,Match Report,,23,12,16.0,1.0,0,0,Manchester City,2022
2021-10-30,15:00,Premier League,Matchweek 10,Sat,Home,L,0,2,Crystal Palace,0.7,0.7,68,53014.0,Rúben Dias,4-3-3,4-3-3,Andre Marriner,Match Report,,14,3,17.7,0.0,0,0,Manchester City,2022
2021-11-06,12:30,Premier League,Matchweek 11,Sat,Away,W,2,0,Manchester Utd,1.6,0.9,67,73086.0,İlkay Gündoğan,4-3-3,3-5-2,Michael Oliver,Match Report,,16,5,14.7,0.0,0,0,Manchester City,2022
2021-11-21,14:00,Premier League,Matchweek 12,Sun,Home,W,3,0,Everton,2.5,0.2,77,52571.0,İlkay Gündoğan,4-3-3,4-4-1-1,Stuart Attwell,Match Report,,17,7,16.4,1.0,0,0,Manchester City,2022
2021-11-28,14:00,Premier League,Matchweek 13,Sun,Home,W,2,1,West Ham,2.1,0.2,68,53245.0,İlkay Gündoğan,4-3-3,4-2-3-1,Michael Oliver,Match Report,,19,8,16.0,0.0,0,0,Manchester City,2022
2021-12-01,20:15,Premier League,Matchweek 14,Wed,Away,W,2,1,Aston Villa,1.0,0.8,64,41400.0,Fernandinho,4-2-3-1,4-3-3,Mike Dean,Match Report,,17,7,19.2,1.0,0,0,Manchester City,2022
2021-12-04,17:30,Premier League,Matchweek 15,Sat,Away,W,3,1,Watford,3.1,0.8,77,20673.0,İlkay Gündoğan,4-3-3,4-1-4-1,Simon Hooper,Match Report,,26,12,14.4,0.0,0,0,Manchester City,2022
2021-12-11,12:30,Premier League,Matchweek 16,Sat,Home,W,1,0,Wolves,3.2,0.2,71,52613.0,İlkay Gündoğan,4-3-3,3-5-2,Jonathan Moss,Match Report,,23,8,15.7,0.0,1,1,Manchester City,2022
2021-12-14,20:00,Premier League,Matchweek 17,Tue,Home,W,7,0,Leeds United,3.1,0.3,63,52401.0,Rúben Dias,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,,31,15,17.3,2.0,0,0,Manchester City,2022
2021-12-19,14:15,Premier League,Matchweek 18,Sun,Away,W,4,0,Newcastle Utd,2.9,0.3,71,52127.0,Rúben Dias,4-2-3-1,4-5-1,Martin Atkinson,Match Report,,18,7,12.9,0.0,0,0,Manchester City,2022
2021-12-26,15:00,Premier League,Matchweek 19,Sun,Home,W,6,3,Leicester City,3.6,2.7,72,53226.0,Fernandinho,4-3-3,4-4-1-1,Chris Kavanagh,Match Report,,15,6,17.5,1.0,2,2,Manchester City,2022
2021-12-29,20:15,Premier League,Matchweek 20,Wed,Away,W,1,0,Brentford,1.1,0.4,76,17009.0,Fernandinho,4-3-3,3-5-2,David Coote,Match Report,,12,3,19.8,0.0,0,0,Manchester City,2022
2022-01-01,12:30,Premier League,Matchweek 21,Sat,Away,W,2,1,Arsenal,2.0,0.8,71,59757.0,Rúben Dias,4-2-3-1,4-2-3-1,Stuart Attwell,Match Report,,14,1,18.7,0.0,1,1,Manchester City,2022
2022-01-15,12:30,Premier League,Matchweek 22,Sat,Home,W,1,0,Chelsea,1.0,0.3,56,53319.0,Kevin De Bruyne,4-2-3-1,3-4-3,Craig Pawson,Match Report,,11,6,16.5,1.0,0,0,Manchester City,2022
2022-01-22,17:30,Premier League,Matchweek 23,Sat,Away,D,1,1,Southampton,1.8,0.8,74,31178.0,Rúben Dias,4-3-3,4-4-2,Simon Hooper,Match Report,,20,5,17.5,0.0,0,0,Manchester City,2022
2022-02-09,19:45,Premier League,Matchweek 24,Wed,Home,W,2,0,Brentford,1.9,0.4,74,51658.0,Rúben Dias,4-3-3,3-5-2,Darren England,Match Report,,14,6,19.8,0.0,1,1,Manchester City,2022
2022-02-12,17:30,Premier League,Matchweek 25,Sat,Away,W,4,0,Norwich City,4.6,0.4,71,27010.0,Fernandinho,4-3-3,4-3-3,Andre Marriner,Match Report,,21,8,11.8,0.0,0,1,Manchester City,2022
2022-02-19,17:30,Premier League,Matchweek 26,Sat,Home,L,2,3,Tottenham,2.1,1.4,71,53201.0,İlkay Gündoğan,4-3-3,3-4-3,Anthony Taylor,Match Report,,20,3,16.2,0.0,1,1,Manchester City,2022
2022-02-26,17:30,Premier League,Matchweek 27,Sat,Away,W,1,0,Everton,1.8,0.5,67,39105.0,İlkay Gündoğan,4-3-3,4-3-3,Paul Tierney,Match Report,,13,8,16.3,0.0,0,0,Manchester City,2022
2022-03-06,16:30,Premier League,Matchweek 28,Sun,Home,W,4,1,Manchester Utd,2.7,0.5,69,53165.0,Kevin De Bruyne,4-3-3,4-2-3-1,Michael Oliver,Match Report,,24,10,15.2,1.0,0,0,Manchester City,2022
2022-03-14,20:00,Premier League,Matchweek 29,Mon,Away,D,0,0,Crystal Palace,2.8,0.6,73,25309.0,Kevin De Bruyne,4-3-3,4-3-3,Martin Atkinson,Match Report,,19,4,17.2,0.0,0,0,Manchester City,2022
2022-04-02,15:00,Premier League,Matchweek 31,Sat,Away,W,2,0,Burnley,1.8,0.1,76,21249.0,İlkay Gündoğan,4-3-3,4-5-1,Craig Pawson,Match Report,,18,6,16.5,0.0,0,0,Manchester City,2022
2022-04-10,16:30,Premier League,Matchweek 32,Sun,Home,D,2,2,Liverpool,1.3,1.3,55,53197.0,Kevin De Bruyne,4-2-3-1,4-3-3,Anthony Taylor,Match Report,,11,4,17.8,1.0,0,0,Manchester City,2022
2022-04-20,20:00,Premier League,Matchweek 30,Wed,Home,W,3,0,Brighton,1.3,0.2,65,52226.0,İlkay Gündoğan,4-3-3,3-5-2,Mike Dean,Match Report,,17,5,20.0,0.0,0,0,Manchester City,2022
2022-04-23,15:00,Premier League,Matchweek 34,Sat,Home,W,5,1,Watford,3.6,0.5,73,53013.0,Fernandinho,4-2-3-1,4-3-3,Kevin Friend,Match Report,,20,7,14.6,0.0,1,1,Manchester City,2022
2022-04-30,17:30,Premier League,Matchweek 35,Sat,Away,W,4,0,Leeds United,2.4,1.3,58,35771.0,İlkay Gündoğan,4-2-3-1,5-4-1,Paul Tierney,Match Report,,19,6,16.2,0.0,0,0,Manchester City,2022
2022-05-08,16:30,Premier League,Matchweek 36,Sun,Home,W,5,0,Newcastle Utd,3.1,0.8,71,53336.0,İlkay Gündoğan,4-2-3-1,4-3-3,Stuart Attwell,Match Report,,21,9,16.0,1.0,0,0,Manchester City,2022
2022-05-11,20:15,Premier League,Matchweek 33,Wed,Away,W,5,1,Wolves,2.3,0.5,66,32000.0,Fernandinho,4-2-3-1,3-5-2,Martin Atkinson,Match Report,,15,5,14.7,0.0,0,0,Manchester City,2022
2022-05-15,14:00,Premier League,Matchweek 37,Sun,Away,D,2,2,West Ham,2.4,1.1,78,59972.0,Fernandinho,4-3-3,4-2-3-1,Anthony Taylor,Match Report,,30,7,18.6,2.0,0,1,Manchester City,2022
2022-05-22,16:00,Premier League,Matchweek 38,Sun,Home,W,3,2,Aston Villa,3.4,0.2,71,53395.0,Fernandinho,4-3-3,4-3-2-1,Michael Oliver,Match Report,,24,5,14.2,1.0,0,0,Manchester City,2022
