Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2021-08-14,17:30,Premier League,Matchweek 1,Sat,Away,W,3,0,Norwich City,1.6,1.4,50,27023,James Milner,4-3-3,4-3-3,Andre Marriner,Match Report,,19,6,17.3,1.0,0,0,Liverpool,2022
2021-08-21,12:30,Premier League,Matchweek 2,Sat,Home,W,2,0,Burnley,2.7,0.9,65,52591,Jordan Henderson,4-3-3,4-4-2,Mike Dean,Match Report,,27,8,16.1,0.0,0,0,Liverpool,2022
2021-08-28,17:30,Premier League,Matchweek 3,Sat,Home,D,1,1,Chelsea,2.5,0.6,65,54000,Jordan Henderson,4-3-3,3-4-3,Anthony Taylor,Match Report,,23,6,16.2,0.0,1,1,Liverpool,2022
2021-09-12,16:30,Premier League,Matchweek 4,Sun,Away,W,3,0,Leeds United,4.3,1.2,56,36507,Virgil van Dijk,4-3-3,4-1-4-1,Craig Pawson,Match Report,,30,8,16.1,1.0,0,0,Liverpool,2022
2021-09-18,15:00,Premier League,Matchweek 5,Sat,Home,W,3,0,Crystal Palace,3.1,0.6,59,52000,Jordan Henderson,4-3-3,4-3-3,Andy Madley,Match Report,,25,10,16.4,1.0,0,0,Liverpool,2022
2021-09-25,17:30,Premier League,Matchweek 6,Sat,Away,D,3,3,Brentford,2.8,2.1,67,16876,Jordan Henderson,4-3-3,3-5-2,Stuart Attwell,Match Report,,16,5,17.0,1.0,0,0,Liverpool,2022
2021-10-03,16:30,Premier League,Matchweek 7,Sun,Home,D,2,2,Manchester City,0.9,1.2,49,53102,Jordan Henderson,4-3-3,4-3-3,Paul Tierney,Match Report,,6,3,15.0,1.0,0,0,Liverpool,2022
2021-10-16,12:30,Premier League,Matchweek 8,Sat,Away,W,5,0,Watford,3.3,0.5,75,21085,Jordan Henderson,4-3-3,5-4-1,Jonathan Moss,Match Report,,19,8,16.0,0.0,0,0,Liverpool,2022
2021-10-24,16:30,Premier League,Matchweek 9,Sun,Away,W,5,0,Manchester Utd,3.4,1.6,62,73088,Jordan Henderson,4-3-3,4-2-3-1,Anthony Taylor,Match Report,,19,8,16.6,0.0,0,0,Liverpool,2022
2021-10-30,15:00,Premier League,Matchweek 10,Sat,Home,D,2,2,Brighton,1.5,1.0,58,52598,Jordan Henderson,4-3-3,4-2-3-1,Mike Dean,Match Report,,14,3,20.8,0.0,0,0,Liverpool,2022
2021-11-07,16:30,Premier League,Matchweek 11,Sun,Away,L,2,3,West Ham,1.2,1.0,69,59909,Jordan Henderson,4-3-3,4-2-3-1,Craig Pawson,Match Report,,16,5,16.7,1.0,0,0,Liverpool,2022
2021-11-20,17:30,Premier League,Matchweek 12,Sat,Home,W,4,0,Arsenal,4.3,0.4,62,53092,Virgil van Dijk,4-3-3,4-4-1-1,Michael Oliver,Match Report,,19,9,13.4,0.0,0,0,Liverpool,2022
2021-11-27,15:00,Premier League,Matchweek 13,Sat,Home,W,4,0,Southampton,2.9,1.0,64,53040,Jordan Henderson,4-3-3,3-4-3,Andre Marriner,Match Report,,20,6,15.5,0.0,0,0,Liverpool,2022
