Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2022-08-06,12:30,Premier League,Matchweek 1,Sat,Home,D,2,2,Liverpool,1.2,1.2,33,22207,Tim Ream,4-2-3-1,4-3-3,Andy Madley,Match Report,,8,2,18.4,0.0,1,1,Fulham,2023
2022-08-13,15:00,Premier League,Matchweek 2,Sat,Away,D,0,0,Wolves,1.5,0.9,41,31178,Tim Ream,4-2-3-1,4-2-3-1,John Brooks,Match Report,,8,2,15.7,0.0,0,1,Fulham,2023
2022-08-20,15:00,Premier League,Matchweek 3,Sat,Home,W,3,2,Brentford,2.4,1.8,43,21798,Tim Ream,4-2-3-1,4-3-3,Peter Bankes,Match Report,,18,9,15.5,1.0,0,0,Fulham,2023
2022-08-27,17:30,Premier League,Matchweek 4,Sat,Away,L,1,2,Arsenal,0.8,2.6,29,60164,Tim Ream,4-2-3-1,4-3-3,Jarred Gillett,Match Report,,11,3,13.7,0.0,0,0,Fulham,2023
2022-08-30,19:30,Premier League,Matchweek 5,Tue,Home,W,2,1,Brighton,0.7,1.4,39,22224,Tim Ream,4-2-3-1,3-5-2,Thomas Bramall,Match Report,,10,3,15.3,1.0,0,0,Fulham,2023
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Away,L,1,2,Tottenham,0.7,2.9,48,61641,Tim Ream,4-2-3-1,3-4-3,Stuart Attwell,Match Report,,9,3,17.1,0.0,0,0,Fulham,2023
2022-09-16,20:00,Premier League,Matchweek 8,Fri,Away,W,3,2,Nott'ham Forest,0.9,1.4,59,28654,Tim Ream,4-2-3-1,3-4-1-2,Jarred Gillett,Match Report,,15,7,17.3,2.0,0,0,Fulham,2023
2022-10-01,15:00,Premier League,Matchweek 9,Sat,Home,L,1,4,Newcastle Utd,0.5,3.3,33,22913,Tim Ream,4-2-3-1,4-3-3,Darren England,Match Report,,3,1,16.2,0.0,0,0,Fulham,2023
2022-10-09,14:00,Premier League,Matchweek 10,Sun,Away,L,1,3,West Ham,0.7,2.4,50,62407,Tim Ream,4-2-3-1,4-2-3-1,Chris Kavanagh,Match Report,,8,2,16.6,1.0,0,0,Fulham,2023
2022-10-15,15:00,Premier League,Matchweek 11,Sat,Home,D,2,2,Bournemouth,2.1,1.0,69,22541,Tim Ream,4-2-3-1,4-2-3-1,Graham Scott,Match Report,,18,3,18.9,0.0,1,1,Fulham,2023
