Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2022-08-06,15:00,Premier League,Matchweek 1,Sat,Away,L,1,2,Leeds United,1.3,0.8,60,36347,Rúben Neves,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,15,6,18.9,0.0,0,0,Wolverhampton Wanderers,2023
2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,D,0,0,Fulham,0.9,1.5,59,31178,Rúben Neves,4-2-3-1,4-2-3-1,John Brooks,Match Report,,7,1,18.7,1.0,0,0,Wolverhampton Wanderers,2023
2022-08-20,12:30,Premier League,Matchweek 3,Sat,Away,L,0,1,Tottenham,0.7,1.7,50,61298,Rúben Neves,3-5-2,3-4-3,Simon Hooper,Match Report,,20,3,21.9,1.0,0,0,Wolverhampton Wanderers,2023
2022-08-28,14:00,Premier League,Matchweek 4,Sun,Home,D,1,1,Newcastle Utd,0.7,1.7,37,31311,Rúben Neves,4-3-3,4-3-3,Peter Bankes,Match Report,,10,4,20.7,1.0,0,0,Wolverhampton Wanderers,2023
2022-08-31,19:30,Premier League,Matchweek 5,Wed,Away,D,0,0,Bournemouth,1.5,0.4,65,10113,Rúben Neves,4-3-3,4-4-2,Anthony Taylor,Match Report,,17,3,17.7,1.0,0,0,Wolverhampton Wanderers,2023
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Home,W,1,0,Southampton,0.8,1.2,51,30546,Rúben Neves,4-3-3,4-2-3-1,John Brooks,Match Report,,7,2,12.9,0.0,0,0,Wolverhampton Wanderers,2023
2022-09-17,12:30,Premier League,Matchweek 8,Sat,Home,L,0,3,Manchester City,0.4,1.1,41,31578,Rúben Neves,4-3-3,4-3-3,Anthony Taylor,Match Report,,6,1,19.6,2.0,0,0,Wolverhampton Wanderers,2023
2022-10-01,17:30,Premier League,Matchweek 9,Sat,Away,L,0,2,West Ham,0.7,0.9,61,62444,Rúben Neves,3-4-3,4-2-3-1,Paul Tierney,Match Report,,15,4,21.6,0.0,0,0,Wolverhampton Wanderers,2023
2022-10-08,15:00,Premier League,Matchweek 10,Sat,Away,L,0,3,Chelsea,1.1,1.9,43,39940,João Moutinho,4-2-3-1,4-2-3-1,Simon Hooper,Match Report,,8,2,14.5,1.0,0,0,Wolverhampton Wanderers,2023
2022-10-15,15:00,Premier League,Matchweek 11,Sat,Home,W,1,0,Nott'ham Forest,1.3,1.5,58,31554,Rúben Neves,4-2-3-1,4-3-3,Thomas Bramall,Match Report,,8,1,16.8,0.0,1,1,Wolverhampton Wanderers,2023
2022-10-18,20:15,Premier League,Matchweek 12,Tue,Away,L,1,2,Crystal Palace,0.8,1.2,49,25125,Rúben Neves,4-2-3-1,4-3-3,David Coote,Match Report,,10,4,16.3,1.0,0,0,Wolverhampton Wanderers,2023
