Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2020-09-12,20:00,Premier League,Matchweek 1,Sat,Away,W,2,0,West Ham,1.6,1.0,42,,Jamaal Lascelles,4-4-2,4-2-3-1,Stuart Attwell,Match Report,,15,2,17.6,1.0,0,0,Newcastle United,2021
2020-09-20,14:00,Premier League,Matchweek 2,Sun,Home,L,0,3,Brighton,0.5,1.8,47,,Jamaal Lascelles,4-4-2,3-4-3,Kevin Friend,Match Report,,6,0,21.3,0.0,0,0,Newcastle United,2021
2020-09-27,14:00,Premier League,Matchweek 3,Sun,Away,D,1,1,Tottenham,1.0,2.9,34,,Jamaal Lascelles,5-4-1,4-2-3-1,Peter Bankes,Match Report,,5,0,19.1,0.0,1,1,Newcastle United,2021
2020-10-03,20:00,Premier League,Matchweek 4,Sat,Home,W,3,1,Burnley,1.8,0.4,48,,Jonjo Shelvey,4-4-2,4-4-2,David Coote,Match Report,,9,4,19.8,0.0,1,1,Newcastle United,2021
2020-10-17,20:00,Premier League,Matchweek 5,Sat,Home,L,1,4,Manchester Utd,0.9,2.3,37,,Jamaal Lascelles,4-1-4-1,4-2-3-1,Craig Pawson,Match Report,,7,4,20.6,0.0,0,0,Newcastle United,2021
2020-10-25,16:30,Premier League,Matchweek 6,Sun,Away,D,1,1,Wolves,0.3,0.7,37,,Jamaal Lascelles,5-3-2,3-4-3,Lee Mason,Match Report,,5,2,21.2,1.0,0,0,Newcastle United,2021
2020-11-01,14:00,Premier League,Matchweek 7,Sun,Home,W,2,1,Everton,2.9,1.5,39,,Jamaal Lascelles,5-3-2,4-3-2-1,Stuart Attwell,Match Report,,10,3,17.8,0.0,1,1,Newcastle United,2021
2020-11-06,20:00,Premier League,Matchweek 8,Fri,Away,L,0,2,Southampton,0.3,0.7,39,,Jamaal Lascelles,5-3-2,4-4-2,Peter Bankes,Match Report,,4,2,15.2,1.0,0,0,Newcastle United,2021
2020-11-21,12:30,Premier League,Matchweek 9,Sat,Home,L,0,2,Chelsea,0.3,1.5,30,,Jamaal Lascelles,5-4-1,4-3-3,Craig Pawson,Match Report,,8,1,23.7,0.0,0,0,Newcastle United,2021
2020-11-27,20:00,Premier League,Matchweek 10,Fri,Away,W,2,0,Crystal Palace,1.3,0.6,43,,Jonjo Shelvey,4-4-2,4-4-2,Graham Scott,Match Report,,14,7,19.5,2.0,0,0,Newcastle United,2021
2020-12-12,15:00,Premier League,Matchweek 12,Sat,Home,W,2,1,West Brom,0.8,0.6,46,,Jonjo Shelvey,4-4-2,3-5-2,Darren England,Match Report,,12,6,16.7,0.0,0,0,Newcastle United,2021
2020-12-16,18:00,Premier League,Matchweek 13,Wed,Away,L,2,5,Leeds United,1.5,2.7,32,,Federico Fernández,4-4-2,4-1-4-1,Simon Hooper,Match Report,,10,4,13.9,1.0,0,0,Newcastle United,2021
2020-12-19,20:00,Premier League,Matchweek 14,Sat,Home,D,1,1,Fulham,1.4,1.0,49,,Jonjo Shelvey,4-4-2,3-4-3,Graham Scott,Match Report,,11,4,22.3,2.0,1,1,Newcastle United,2021
2020-12-26,20:00,Premier League,Matchweek 15,Sat,Away,L,0,2,Manchester City,0.3,3.0,26,,Federico Fernández,5-4-1,3-4-3,Andre Marriner,Match Report,,7,2,21.2,0.0,0,0,Newcastle United,2021
2020-12-30,20:00,Premier League,Matchweek 16,Wed,Home,D,0,0,Liverpool,0.5,1.4,28,,Federico Fernández,5-4-1,4-3-3,Paul Tierney,Match Report,,8,2,17.0,0.0,0,0,Newcastle United,2021
2021-01-03,14:15,Premier League,Matchweek 17,Sun,Home,L,1,2,Leicester City,0.5,0.6,44,,Federico Fernández,5-4-1,4-2-3-1,Robert Jones,Match Report,,8,2,15.1,0.0,0,0,Newcastle United,2021
2021-01-12,18:00,Premier League,Matchweek 18,Tue,Away,L,0,1,Sheffield Utd,0.6,2.1,35,,Federico Fernández,5-4-1,3-5-2,Andy Madley,Match Report,,7,3,22.6,2.0,0,0,Newcastle United,2021
2021-01-18,20:00,Premier League,Matchweek 19,Mon,Away,L,0,3,Arsenal,0.2,2.4,34,,Jamaal Lascelles,4-4-2,4-2-3-1,David Coote,Match Report,,4,1,17.3,0.0,0,0,Newcastle United,2021
2021-01-23,20:00,Premier League,Matchweek 11,Sat,Away,L,0,2,Aston Villa,0.5,2.3,42,,Jamaal Lascelles,5-3-2,4-2-3-1,Simon Hooper,Match Report,,7,1,14.5,0.0,0,0,Newcastle United,2021
2021-01-26,18:00,Premier League,Matchweek 20,Tue,Home,L,1,2,Leeds United,1.4,0.7,42,,Jamaal Lascelles,4-4-1-1,4-1-4-1,Anthony Taylor,Match Report,,22,5,22.0,4.0,0,0,Newcastle United,2021
2021-01-30,12:30,Premier League,Matchweek 21,Sat,Away,W,2,0,Everton,1.7,0.8,40,,Jamaal Lascelles,4-3-1-2,4-2-3-1,Stuart Attwell,Match Report,,13,3,17.1,2.0,0,0,Newcastle United,2021
2021-02-02,20:15,Premier League,Matchweek 22,Tue,Home,L,1,2,Crystal Palace,1.9,0.7,61,,Jonjo Shelvey,4-3-1-2,4-4-2,Darren England,Match Report,,21,5,16.2,1.0,0,0,Newcastle United,2021
2021-02-06,15:00,Premier League,Matchweek 23,Sat,Home,W,3,2,Southampton,0.7,1.3,27,,Jonjo Shelvey,4-3-1-2,4-4-2,Craig Pawson,Match Report,,6,4,16.1,1.0,0,0,Newcastle United,2021
