Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2020-09-20,19:00,Premier League,Matchweek 2,Sun,Away,L,2,4,Leicester City,1.4,1.2,33,,Ashley Westwood,4-4-2,4-1-4-1,Lee Mason,Match Report,,16,5,16.4,1.0,0,0,Burnley,2021
2020-09-26,20:00,Premier League,Matchweek 3,Sat,Home,L,0,1,Southampton,0.5,0.6,53,,Ashley Westwood,4-4-2,4-4-2,Andre Marriner,Match Report,,10,2,18.3,1.0,0,0,Burnley,2021
2020-10-03,20:00,Premier League,Matchweek 4,Sat,Away,L,1,3,Newcastle Utd,0.4,1.8,52,,Ashley Westwood,4-4-2,4-4-2,David Coote,Match Report,,7,3,13.4,0.0,0,0,Burnley,2021
2020-10-19,17:30,Premier League,Matchweek 5,Mon,Away,D,0,0,West Brom,1.1,0.8,43,,Ashley Westwood,4-4-2,4-1-4-1,Anthony Taylor,Match Report,,9,4,16.1,1.0,0,0,Burnley,2021
2020-10-26,20:00,Premier League,Matchweek 6,Mon,Home,L,0,1,Tottenham,1.0,0.6,39,,Ashley Westwood,4-4-2,4-2-3-1,Michael Oliver,Match Report,,13,3,21.1,1.0,0,0,Burnley,2021
2020-10-31,15:00,Premier League,Matchweek 7,Sat,Home,L,0,3,Chelsea,0.5,0.9,37,,Ashley Westwood,4-4-2,4-3-3,David Coote,Match Report,,5,0,24.4,0.0,0,0,Burnley,2021
2020-11-06,17:30,Premier League,Matchweek 8,Fri,Away,D,0,0,Brighton,0.5,1.5,41,,Ben Mee,4-4-2,5-3-2,Mike Dean,Match Report,,4,1,11.7,0.0,0,0,Burnley,2021
2020-11-23,17:30,Premier League,Matchweek 9,Mon,Home,W,1,0,Crystal Palace,1.5,1.5,46,,Ben Mee,4-4-2,4-4-2,Kevin Friend,Match Report,,10,4,18.6,0.0,0,0,Burnley,2021
2020-11-28,15:00,Premier League,Matchweek 10,Sat,Away,L,0,5,Manchester City,0.5,1.7,32,,Ben Mee,4-4-1-1,4-2-3-1,Lee Mason,Match Report,,9,1,19.9,1.0,0,0,Burnley,2021
2020-12-05,12:30,Premier League,Matchweek 11,Sat,Home,D,1,1,Everton,0.8,2.2,42,,Ben Mee,4-4-2,3-4-3,Anthony Taylor,Match Report,,8,3,18.6,0.0,0,0,Burnley,2021
2020-12-13,19:15,Premier League,Matchweek 12,Sun,Away,W,1,0,Arsenal,1.4,1.6,35,2000.0,Ben Mee,4-4-1-1,4-2-3-1,Graham Scott,Match Report,,10,2,15.9,0.0,0,0,Burnley,2021
2020-12-17,18:00,Premier League,Matchweek 13,Thu,Away,D,0,0,Aston Villa,0.3,1.5,41,,Ben Mee,4-4-2,4-2-3-1,Craig Pawson,Match Report,,6,4,19.7,1.0,0,0,Burnley,2021
2020-12-21,17:30,Premier League,Matchweek 14,Mon,Home,W,2,1,Wolves,1.7,1.5,37,,Ben Mee,4-4-2,3-4-1-2,Lee Mason,Match Report,,10,4,15.8,1.0,0,0,Burnley,2021
2020-12-27,12:00,Premier League,Matchweek 15,Sun,Away,L,0,1,Leeds United,1.5,1.9,49,,Ben Mee,4-4-2,3-3-3-1,Robert Jones,Match Report,,14,6,16.1,0.0,0,0,Burnley,2021
2020-12-29,18:00,Premier League,Matchweek 16,Tue,Home,W,1,0,Sheffield Utd,1.0,0.7,37,,Ben Mee,4-4-2,3-4-3,Chris Kavanagh,Match Report,,5,3,11.8,1.0,0,0,Burnley,2021
2021-01-12,20:15,Premier League,Matchweek 1,Tue,Home,L,0,1,Manchester Utd,0.9,1.2,38,,Ben Mee,4-4-2,4-2-3-1,Kevin Friend,Match Report,,11,0,20.0,0.0,0,0,Burnley,2021
2021-01-16,15:00,Premier League,Matchweek 19,Sat,Away,L,0,1,West Ham,0.5,1.7,55,,Ben Mee,4-4-2,4-2-3-1,Chris Kavanagh,Match Report,,10,2,24.2,1.0,0,0,Burnley,2021
2021-01-21,20:00,Premier League,Matchweek 18,Thu,Away,W,1,0,Liverpool,1.1,1.6,28,,Ben Mee,4-4-2,4-3-3,Mike Dean,Match Report,,5,3,18.2,0.0,1,1,Burnley,2021
2021-01-27,18:00,Premier League,Matchweek 20,Wed,Home,W,3,2,Aston Villa,0.5,2.2,39,,Ben Mee,4-4-2,4-2-3-1,Paul Tierney,Match Report,,10,5,20.0,0.0,0,0,Burnley,2021
2021-01-31,12:00,Premier League,Matchweek 21,Sun,Away,L,0,2,Chelsea,0.2,1.2,30,,Ben Mee,4-4-2,3-4-3,Graham Scott,Match Report,,1,0,5.3,0.0,0,0,Burnley,2021
