Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2020-09-21,20:15,Premier League,Matchweek 2,Mon,Away,W,3,1,Wolves,1.9,0.6,65,,Fernandinho,4-2-3-1,5-3-2,Andre Marriner,Match Report,,13,8,21.1,2.0,1,1,Manchester City,2021
2020-09-27,16:30,Premier League,Matchweek 3,Sun,Home,L,2,5,Leicester City,0.9,2.9,72,,Fernandinho,4-2-3-1,5-4-1,Michael Oliver,Match Report,,16,5,19.8,1.0,0,0,Manchester City,2021
2020-10-03,17:30,Premier League,Matchweek 4,Sat,Away,D,1,1,Leeds United,1.2,2.4,49,,Kevin De Bruyne,4-3-3,4-1-4-1,Mike Dean,Match Report,,23,1,18.2,1.0,0,0,Manchester City,2021
2020-10-17,17:30,Premier League,Matchweek 5,Sat,Home,W,1,0,Arsenal,1.3,0.9,58,,Raheem Sterling,3-1-4-2,4-3-3,Chris Kavanagh,Match Report,,13,5,17.7,0.0,0,0,Manchester City,2021
2020-10-24,12:30,Premier League,Matchweek 6,Sat,Away,D,1,1,West Ham,1.0,0.3,69,,Raheem Sterling,4-3-3,5-4-1,Anthony Taylor,Match Report,,14,7,20.9,1.0,0,0,Manchester City,2021
2020-10-31,12:30,Premier League,Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1.6,0.5,65,,Kevin De Bruyne,4-3-3,5-3-2,Michael Oliver,Match Report,,16,8,18.5,2.0,0,0,Manchester City,2021
2020-11-08,16:30,Premier League,Matchweek 8,Sun,Home,D,1,1,Liverpool,1.4,1.2,54,,Kevin De Bruyne,4-2-3-1,4-2-3-1,Craig Pawson,Match Report,,6,2,20.6,0.0,0,1,Manchester City,2021
2020-11-21,17:30,Premier League,Matchweek 9,Sat,Away,L,0,2,Tottenham,1.4,0.7,66,,Kevin De Bruyne,4-3-3,4-2-3-1,Mike Dean,Match Report,,22,5,16.0,0.0,0,0,Manchester City,2021
2020-11-28,15:00,Premier League,Matchweek 10,Sat,Home,W,5,0,Burnley,1.7,0.5,68,,Kevin De Bruyne,4-2-3-1,4-4-1-1,Lee Mason,Match Report,,19,6,16.4,0.0,0,0,Manchester City,2021
2020-12-05,15:00,Premier League,Matchweek 11,Sat,Home,W,2,0,Fulham,2.9,0.3,69,,Kevin De Bruyne,4-2-3-1,3-4-1-2,Jonathan Moss,Match Report,,14,4,15.9,0.0,1,1,Manchester City,2021
2020-12-12,17:30,Premier League,Matchweek 12,Sat,Away,D,0,0,Manchester Utd,1.3,0.6,54,,Fernandinho,4-2-3-1,4-2-3-1,Chris Kavanagh,Match Report,,9,2,18.3,1.0,0,0,Manchester City,2021
