Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2022-08-06,15:00,Premier League,Matchweek 1,Sat,Away,L,1,4,Tottenham,0.5,1.5,42,61732,James Ward-Prowse,5-3-2,3-4-3,Andre Marriner,Match Report,,10,2,17.1,0.0,0,0,Southampton,2023
2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,D,2,2,Leeds United,1.2,1.8,43,30815,James Ward-Prowse,3-4-3,4-2-3-1,Tony Harrington,Match Report,,14,4,18.1,1.0,0,0,Southampton,2023
2022-08-20,15:00,Premier League,Matchweek 3,Sat,Away,W,2,1,Leicester City,0.9,0.3,38,30850,James Ward-Prowse,4-2-3-1,4-1-4-1,Michael Salisbury,Match Report,,9,3,15.0,0.0,0,0,Southampton,2023
2022-08-27,12:30,Premier League,Matchweek 4,Sat,Home,L,0,1,Manchester Utd,1.4,1.1,49,31196,James Ward-Prowse,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,17,4,13.8,0.0,0,0,Southampton,2023
2022-08-30,19:45,Premier League,Matchweek 5,Tue,Home,W,2,1,Chelsea,1.1,1.1,33,31542,James Ward-Prowse,4-2-3-1,4-2-2-2,Michael Oliver,Match Report,,9,5,17.8,0.0,0,0,Southampton,2023
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Away,L,0,1,Wolves,1.2,0.8,49,30546,James Ward-Prowse,4-2-3-1,4-3-3,John Brooks,Match Report,,12,1,16.4,1.0,0,0,Southampton,2023
2022-09-16,20:00,Premier League,Matchweek 8,Fri,Away,L,0,1,Aston Villa,0.3,1.5,47,40758,James Ward-Prowse,4-2-3-1,4-3-2-1,Tony Harrington,Match Report,,7,1,20.2,0.0,0,0,Southampton,2023
2022-10-01,15:00,Premier League,Matchweek 9,Sat,Home,L,1,2,Everton,1.7,2.0,55,30510,James Ward-Prowse,4-4-2,4-3-3,Andre Marriner,Match Report,,22,6,16.4,1.0,0,0,Southampton,2023
2022-10-08,15:00,Premier League,Matchweek 10,Sat,Away,L,0,4,Manchester City,0.2,2.4,35,53365,James Ward-Prowse,4-4-2,4-2-3-1,Andy Madley,Match Report,,5,0,28.1,0.0,0,0,Southampton,2023
2022-10-16,14:00,Premier League,Matchweek 11,Sun,Home,D,1,1,West Ham,0.5,1.7,39,29159,James Ward-Prowse,4-3-3,3-4-3,Peter Bankes,Match Report,,10,8,19.6,0.0,0,0,Southampton,2023
2022-10-19,19:30,Premier League,Matchweek 12,Wed,Away,W,1,0,Bournemouth,1.0,1.0,46,10405,James Ward-Prowse,4-4-2,3-4-3,John Brooks,Match Report,,9,3,13.0,0.0,0,0,Southampton,2023
2022-10-23,14:00,Premier League,Matchweek 13,Sun,Home,D,1,1,Arsenal,0.7,1.0,41,31145,James Ward-Prowse,4-4-2,4-3-3,Robert Jones,Match Report,,10,3,19.4,0.0,0,0,Southampton,2023
2022-10-29,15:00,Premier League,Matchweek 14,Sat,Away,L,0,1,Crystal Palace,1.3,0.9,56,25130,James Ward-Prowse,3-5-2,4-3-3,Michael Salisbury,Match Report,,14,4,18.1,0.0,0,0,Southampton,2023
2022-11-06,14:00,Premier League,Matchweek 15,Sun,Home,L,1,4,Newcastle Utd,1.7,0.9,55,30402,James Ward-Prowse,4-2-3-1,4-3-3,Stuart Attwell,Match Report,,16,5,17.6,1.0,0,0,Southampton,2023
