Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2022-08-06,12:30,Premier League,Matchweek 1,Sat,Away,D,2,2,Fulham,1.2,1.2,67,22207.0,Jordan Henderson,4-3-3,4-2-3-1,Andy Madley,Match Report,,11,3,12.4,0.0,0,0,Liverpool,2023
2022-08-15,20:00,Premier League,Matchweek 2,Mon,Home,D,1,1,Crystal Palace,2.0,1.0,72,52970.0,James Milner,4-3-3,5-4-1,Paul Tierney,Match Report,,24,4,17.4,0.0,0,0,Liverpool,2023
2022-08-22,20:00,Premier League,Matchweek 3,Mon,Away,L,1,2,Manchester Utd,1.3,1.8,70,74147.0,Jordan Henderson,4-3-3,4-2-3-1,Michael Oliver,Match Report,,17,5,14.4,0.0,0,0,Liverpool,2023
2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,9,0,Bournemouth,3.3,0.3,69,53328.0,Jordan Henderson,4-3-3,4-2-3-1,Stuart Attwell,Match Report,,19,12,11.6,0.0,0,0,Liverpool,2023
2022-08-31,20:00,Premier League,Matchweek 5,Wed,Home,W,2,1,Newcastle Utd,1.5,0.7,72,53316.0,Jordan Henderson,4-3-3,4-3-3,Andre Marriner,Match Report,,23,6,17.8,0.0,0,0,Liverpool,2023
2022-09-03,12:30,Premier League,Matchweek 6,Sat,Away,D,0,0,Everton,2.1,1.7,61,39240.0,Virgil van Dijk,4-3-3,4-3-3,Anthony Taylor,Match Report,,23,8,13.1,0.0,0,0,Liverpool,2023
2022-10-01,15:00,Premier League,Matchweek 9,Sat,Home,D,3,3,Brighton,1.5,1.4,54,53320.0,Jordan Henderson,4-3-3,3-4-3,Andy Madley,Match Report,,15,7,16.8,1.0,0,0,Liverpool,2023
2022-10-09,16:30,Premier League,Matchweek 10,Sun,Away,L,2,3,Arsenal,1.1,2.7,57,60059.0,Jordan Henderson,4-2-3-1,4-3-3,Michael Oliver,Match Report,,8,3,18.0,0.0,0,0,Liverpool,2023
2022-10-16,16:30,Premier League,Matchweek 11,Sun,Home,W,1,0,Manchester City,2.1,1.0,37,53286.0,James Milner,4-2-3-1,3-4-3,Anthony Taylor,Match Report,,13,2,17.5,0.0,0,0,Liverpool,2023
2022-10-19,19:30,Premier League,Matchweek 12,Wed,Home,W,1,0,West Ham,1.7,1.7,54,52982.0,Jordan Henderson,4-4-2,4-4-2,Stuart Attwell,Match Report,,22,7,17.5,0.0,0,0,Liverpool,2023
2022-10-22,12:30,Premier League,Matchweek 13,Sat,Away,L,0,1,Nott'ham Forest,1.6,1.9,75,29245.0,James Milner,4-4-2,4-3-3,Paul Tierney,Match Report,,15,7,10.4,0.0,0,0,Liverpool,2023
2022-10-29,19:45,Premier League,Matchweek 14,Sat,Home,L,1,2,Leeds United,1.7,1.8,68,53274.0,Virgil van Dijk,4-1-2-1-2◆,4-2-3-1,Michael Oliver,Match Report,,22,10,16.4,0.0,0,0,Liverpool,2023
2022-11-06,16:30,Premier League,Matchweek 15,Sun,Away,W,2,1,Tottenham,1.2,1.2,53,62008.0,Virgil van Dijk,4-1-2-1-2◆,5-3-2,Andy Madley,Match Report,,13,6,21.2,0.0,0,0,Liverpool,2023
2022-11-12,15:00,Premier League,Matchweek 16,Sat,Home,W,3,1,Southampton,1.9,1.1,60,53331.0,Virgil van Dijk,4-3-3,5-3-2,Simon Hooper,Match Report,,15,7,12.4,0.0,0,0,Liverpool,2023
2022-12-26,17:30,Premier League,Matchweek 17,Mon,Away,W,3,1,Aston Villa,2.7,1.4,52,42085.0,Jordan Henderson,4-3-3,4-4-2,Paul Tierney,Match Report,,16,9,17.0,0.0,0,0,Liverpool,2023
2022-12-30,20:00,Premier League,Matchweek 18,Fri,Home,W,2,1,Leicester City,2.2,1.0,57,53343.0,Jordan Henderson,4-3-3,4-2-3-1,Craig Pawson,Match Report,,21,5,18.4,1.0,0,0,Liverpool,2023
2023-01-02,17:30,Premier League,Matchweek 19,Mon,Away,L,1,3,Brentford,0.9,1.6,72,17163.0,Virgil van Dijk,4-3-3,3-5-2,Stuart Attwell,Match Report,,16,5,15.3,0.0,0,0,Liverpool,2023
2023-01-14,15:00,Premier League,Matchweek 20,Sat,Away,L,0,3,Brighton,1.0,1.9,39,31645.0,Jordan Henderson,4-1-2-1-2◆,4-2-3-1,Darren England,Match Report,,6,2,12.8,0.0,0,0,Liverpool,2023
2023-01-21,12:30,Premier League,Matchweek 21,Sat,Home,D,0,0,Chelsea,1.4,1.6,48,53126.0,James Milner,4-3-3,3-4-3,Michael Oliver,Match Report,,15,3,15.5,0.0,0,0,Liverpool,2023
2023-02-04,15:00,Premier League,Matchweek 22,Sat,Away,L,0,3,Wolves,1.8,2.0,59,31664.0,Andrew Robertson,4-3-3,4-4-2,Paul Tierney,Match Report,,22,2,19.5,1.0,0,0,Liverpool,2023
2023-02-13,20:00,Premier League,Matchweek 23,Mon,Home,W,2,0,Everton,2.3,0.4,59,53027.0,Jordan Henderson,4-3-3,4-5-1,Simon Hooper,Match Report,,15,6,16.7,1.0,0,0,Liverpool,2023
2023-02-18,17:30,Premier League,Matchweek 24,Sat,Away,W,2,0,Newcastle Utd,1.9,2.0,62,52758.0,Jordan Henderson,4-3-3,4-3-3,Anthony Taylor,Match Report,,13,7,16.4,1.0,0,0,Liverpool,2023
2023-02-25,19:45,Premier League,Matchweek 25,Sat,Away,D,0,0,Crystal Palace,0.9,0.7,63,25842.0,Jordan Henderson,4-3-3,4-2-3-1,Darren England,Match Report,,12,4,16.0,1.0,0,0,Liverpool,2023
2023-03-01,20:00,Premier League,Matchweek 7,Wed,Home,W,2,0,Wolves,2.6,0.8,57,53259.0,Virgil van Dijk,4-3-3,4-2-3-1,Paul Tierney,Match Report,,15,6,13.6,0.0,0,0,Liverpool,2023
2023-03-05,16:30,Premier League,Matchweek 26,Sun,Home,W,7,0,Manchester Utd,2.8,0.8,59,53001.0,Jordan Henderson,4-3-3,4-2-3-1,Andy Madley,Match Report,,18,8,12.7,0.0,0,0,Liverpool,2023
2023-03-11,12:30,Premier League,Matchweek 27,Sat,Away,L,0,1,Bournemouth,1.7,0.9,69,10536.0,Virgil van Dijk,4-3-3,4-4-1-1,John Brooks,Match Report,,14,5,18.5,0.0,0,1,Liverpool,2023
2023-04-01,12:30,Premier League,Matchweek 29,Sat,Away,L,1,4,Manchester City,0.3,2.9,32,52877.0,Jordan Henderson,4-3-3,3-2-4-1,Simon Hooper,Match Report,,4,1,15.9,0.0,0,0,Liverpool,2023
2023-04-04,20:00,Premier League,Matchweek 8,Tue,Away,D,0,0,Chelsea,0.3,2.2,51,40093.0,Jordan Henderson,4-3-3,3-5-2,Anthony Taylor,Match Report,,7,3,25.4,0.0,0,0,Liverpool,2023
2023-04-09,16:30,Premier League,Matchweek 30,Sun,Home,D,2,2,Arsenal,3.9,1.4,59,53267.0,Jordan Henderson,4-3-3,4-3-3,Paul Tierney,Match Report,,20,6,14.0,0.0,0,1,Liverpool,2023
2023-04-17,20:00,Premier League,Matchweek 31,Mon,Away,W,6,1,Leeds United,2.7,1.4,73,36657.0,Jordan Henderson,4-3-3,4-2-3-1,Craig Pawson,Match Report,,13,7,12.9,0.0,0,0,Liverpool,2023
2023-04-22,15:00,Premier League,Matchweek 32,Sat,Home,W,3,2,Nott'ham Forest,2.8,0.9,80,53254.0,Jordan Henderson,4-3-3,3-4-3,Michael Oliver,Match Report,,18,5,12.5,0.0,0,0,Liverpool,2023
2023-04-26,19:45,Premier League,Matchweek 33,Wed,Away,W,2,1,West Ham,1.9,0.8,72,62473.0,Jordan Henderson,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,20,4,16.8,0.0,0,0,Liverpool,2023
2023-04-30,16:30,Premier League,Matchweek 34,Sun,Home,W,4,3,Tottenham,2.2,2.0,67,53275.0,Virgil van Dijk,4-3-3,3-4-3,Paul Tierney,Match Report,,11,3,16.1,0.0,1,1,Liverpool,2023
2023-05-03,20:00,Premier League,Matchweek 28,Wed,Home,W,1,0,Fulham,1.8,0.9,57,52602.0,Jordan Henderson,4-3-3,4-2-3-1,Stuart Attwell,Match Report,,14,2,22.6,0.0,1,1,Liverpool,2023
2023-05-06,17:30,Premier League,Matchweek 35,Sat,Home,W,1,0,Brentford,2.2,0.2,54,52838.0,Virgil van Dijk,4-3-3,5-3-2,Anthony Taylor,Match Report,,15,5,18.8,0.0,0,0,Liverpool,2023
2023-05-15,20:00,Premier League,Matchweek 36,Mon,Away,W,3,0,Leicester City,2.2,0.4,66,32225.0,Jordan Henderson,4-3-3,4-2-3-1,Craig Pawson,Match Report,,16,5,17.5,1.0,0,0,Liverpool,2023
2023-05-20,15:00,Premier League,Matchweek 37,Sat,Home,D,1,1,Aston Villa,0.7,1.3,66,53306.0,Jordan Henderson,4-3-3,4-2-3-1,John Brooks,Match Report,,10,5,18.2,0.0,0,0,Liverpool,2023
2023-05-28,16:30,Premier League,Matchweek 38,Sun,Away,D,4,4,Southampton,4.0,1.8,69,31129.0,James Milner,4-3-3,4-2-3-1,Darren England,Match Report,,30,8,18.5,0.0,0,0,Liverpool,2023
